#      lambda(um)  nuLnu(Lsun)
       7.1116247   6.0916479e+09
       7.1320802   6.2655798e+09
       7.1525946   6.4534311e+09
       7.1731680   6.6563279e+09
       7.1938006   6.8752191e+09
       7.2144925   7.1110488e+09
       7.2352440   7.3653418e+09
       7.2560551   7.6403657e+09
       7.2769261   7.9386621e+09
       7.2978571   8.2633886e+09
       7.3188484   8.6188151e+09
       7.3399000   9.0108378e+09
       7.3610121   9.4459745e+09
       7.3821850   9.9315280e+09
       7.4034188   1.0476018e+10
       7.4247137   1.1088677e+10
       7.4460698   1.1776212e+10
       7.4674873   1.2539855e+10
       7.4889665   1.3371590e+10
       7.5105074   1.4248348e+10
       7.5321103   1.5124916e+10
       7.5537753   1.5934236e+10
       7.5755026   1.6599614e+10
       7.5972925   1.7058020e+10
       7.6191450   1.7285076e+10
       7.6410604   1.7307467e+10
       7.6630388   1.7193101e+10
       7.6850804   1.7023651e+10
       7.7071854   1.6867014e+10
       7.7293540   1.6761925e+10
       7.7515864   1.6714911e+10
       7.7738827   1.6703630e+10
       7.7962432   1.6683831e+10
       7.8186679   1.6600605e+10
       7.8411572   1.6403367e+10
       7.8637111   1.6059527e+10
       7.8863300   1.5563283e+10
       7.9090139   1.4935578e+10
       7.9317630   1.4215963e+10
       7.9545776   1.3450522e+10
       7.9774578   1.2681756e+10
       8.0004038   1.1942819e+10
       8.0234158   1.1255760e+10
       8.0464940   1.0632509e+10
       8.0696385   1.0078198e+10
       8.0928497   9.5936120e+09
       8.1161276   9.1761019e+09
       8.1394725   8.8208868e+09
       8.1628845   8.5233946e+09
       8.1863638   8.2797869e+09
       8.2099107   8.0855207e+09
       8.2335253   7.9343947e+09
       8.2572079   7.8219003e+09
       8.2809585   7.7466204e+09
       8.3047775   7.7061705e+09
       8.3286650   7.6969718e+09
       8.3526212   7.7197879e+09
       8.3766463   7.7820049e+09
       8.4007405   7.8900184e+09
       8.4249040   8.0490148e+09
       8.4491371   8.2648968e+09
       8.4734398   8.5428665e+09
       8.4978124   8.8768539e+09
       8.5222551   9.2453329e+09
       8.5467682   9.6065759e+09
       8.5713517   9.8992416e+09
       8.5960060   1.0054046e+10
       8.6207311   1.0021509e+10
       8.6455274   9.7959905e+09
       8.6703950   9.4178673e+09
       8.6953342   8.9529198e+09
       8.7203450   8.4652047e+09
       8.7454278   7.9997834e+09
       8.7705828   7.5797971e+09
       8.7958101   7.2141846e+09
       8.8211100   6.9034120e+09
       8.8464826   6.6431950e+09
       8.8719283   6.4262816e+09
       8.8974471   6.2463263e+09
       8.9230393   6.0972027e+09
       8.9487051   5.9735840e+09
       8.9744448   5.8719361e+09
       9.0002585   5.7890261e+09
       9.0261464   5.7202628e+09
       9.0521088   5.6623415e+09
       9.0781459   5.6158716e+09
       9.1042579   5.5793348e+09
       9.1304450   5.5484918e+09
       9.1567074   5.5204740e+09
       9.1830453   5.4989337e+09
       9.2094590   5.4831300e+09
       9.2359487   5.4683814e+09
       9.2625146   5.4515750e+09
       9.2891568   5.4386670e+09
       9.3158758   5.4292804e+09
       9.3426715   5.4188040e+09
       9.3695444   5.4041157e+09
       9.3964945   5.3919311e+09
       9.4235222   5.3820508e+09
       9.4506276   5.3705820e+09
       9.4778109   5.3547206e+09
       9.5050725   5.3406553e+09
       9.5324124   5.3282725e+09
       9.5598311   5.3147316e+09
